"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0005415","movie","The Great Adventure","The Great Adventure",0,1916,"\N",60,"Comedy"
"tt0005529","movie","Blind Justice","Hævnens Nat",0,1916,"\N",100,"Crime,Drama,Horror"
"tt0006333","movie","20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1916,"\N",105,"Action,Adventure,Sci-Fi"
"tt0006339","movie","The Adventures of Peg o' the Ring","The Adventures of Peg o' the Ring",0,1916,"\N",300,"Action,Drama"
"tt0006356","movie","America Preparing","America Preparing",0,1916,"\N",100,"Documentary"
"tt0006359","movie","The Americano","The Americano",0,1916,"\N",61,"Adventure,Comedy,Romance"
"tt0006405","movie","Kitchener's Great Army in the Battle of the Somme","The Battle of the Somme",0,1916,"\N",74,"Documentary,War"
"tt0006409","movie","Beatrice Fairfax","Beatrice Fairfax",0,1916,"\N",300,"Action,Adventure"
"tt0006412","movie","The Beggar of Cawnpore","The Beggar of Cawnpore",0,1916,"\N",60,"Drama"
"tt0006482","movie","The Call of the Cumberlands","The Call of the Cumberlands",0,1916,"\N",62,"Drama"
"tt0006511","movie","Christus","Christus",0,1916,"\N",88,"Drama"
"tt0006547","movie","The Cossack Whip","The Cossack Whip",0,1916,"\N",61,"Drama"
"tt0006557","movie","The Crisis","The Crisis",0,1916,"\N",100,"Drama,History,War"
"tt0006568","movie","A Daughter of the Gods","A Daughter of the Gods",0,1916,"\N",180,"Drama"
"tt0006589","movie","The Devil's Needle","The Devil's Needle",0,1916,"\N",59,"Drama"
"tt0006614","movie","The Dumb Girl of Portici","The Dumb Girl of Portici",0,1916,"\N",112,"Drama,History,Romance"
"tt0006617","movie","Dödskyssen","Dödskyssen",0,1916,"\N",60,"Comedy,Crime,Drama"
"tt0006621","movie","East Lynne","East Lynne",0,1916,"\N",75,"Drama"
"tt0006631","movie","An Enemy to the King","An Enemy to the King",0,1916,"\N",60,"Adventure,History"
"tt0006709","movie","Under Suspicion","The Game of Liberty",0,1916,"\N",60,"Comedy,Crime"
"tt0006719","movie","The Girl Philippa","The Girl Philippa",0,1916,"\N",70,"Drama,Romance,Thriller"
"tt0006728","movie","God's Country and the Woman","God's Country and the Woman",0,1916,"\N",80,"Drama,Romance"
"tt0006731","movie","Going Straight","Going Straight",0,1916,"\N",60,"Crime,Drama"
"tt0006733","movie","Gold and the Woman","Gold and the Woman",0,1916,"\N",60,"Drama"
"tt0006745","movie","Gretchen the Greenhorn","Gretchen the Greenhorn",0,1916,"\N",58,"Crime,Drama,Romance"
"tt0006753","movie","The Half-Breed","The Half-Breed",0,1916,"\N",73,"Western"
"tt0006755","movie","The Hand of Peril","The Hand of Peril",0,1916,"\N",66,"Crime,Drama"
"tt0006773","movie","The Heart of a Hero","The Heart of a Hero",0,1916,"\N",68,"Drama,War"
"tt0006780","movie","Hell's Hinges","Hell's Hinges",0,1916,"\N",64,"Romance,Western"
"tt0006788","movie","Her Double Life","Her Double Life",0,1916,"\N",60,"Drama"
"tt0006809","movie","His Picture in the Papers","His Picture in the Papers",0,1916,"\N",62,"Comedy"
"tt0006819","movie","Hoffmanns Erzählungen","Hoffmanns Erzählungen",0,1916,"\N",67,"Fantasy"
"tt0006820","movie","Homunculus, 1. Teil","Homunculus, 1. Teil",0,1916,"\N",69,"Horror,Sci-Fi"
"tt0006826","movie","Hoodoo Ann","Hoodoo Ann",0,1916,"\N",65,"Comedy,Drama,Romance"
"tt0006840","movie","Hypocrisy","Hypocrisy",0,1916,"\N",60,"Drama"
"tt0006846","movie","Idle Wives","Idle Wives",0,1916,"\N",70,"Drama"
"tt0006864","movie","Intolerance: Love's Struggle Throughout the Ages","Intolerance: Love's Struggle Throughout the Ages",0,1916,"\N",163,"Drama,History"
"tt0006886","movie","Judex","Judex",0,1916,"\N",300,"Adventure,Crime"
"tt0006895","movie","King Lear","King Lear",0,1916,"\N",63,"Drama"
"tt0006903","movie","Victory of Love","Kärleken segrar",0,1916,"\N",62,"Drama"
"tt0006908","movie","The Lash","The Lash",0,1916,"\N",90,"Drama"
"tt0006910","movie","The Last Man","The Last Man",0,1916,"\N",59,"Drama,Romance,War"
"tt0006914","movie","Less Than the Dust","Less Than the Dust",0,1916,"\N",93,"Drama"
"tt0006917","movie","Liberty","Liberty",0,1916,"\N",400,"Action,Adventure,War"
"tt0006922","movie","The Light at Dusk","The Light at Dusk",0,1916,"\N",60,"Drama"
"tt0006953","movie","Love and Hate","Love and Hate",0,1916,"\N",60,"Drama"
"tt0006995","movie","Macbeth","Macbeth",0,1916,"\N",80,"Drama,History"
"tt0006997","movie","The Warrior","Maciste alpino",0,1916,"\N",95,"Action,Drama,War"
"tt0007028","movie","A Man of Sorrow","A Man of Sorrow",0,1916,"\N",60,"Drama"
"tt0007034","movie","The Manxman","The Manxman",0,1916,"\N",90,"Drama"
"tt0007057","movie","The Merchant of Venice","The Merchant of Venice",0,1916,"\N",85,"Drama"
"tt0007062","movie","Milestones","Milestones",0,1916,"\N",90,"Drama"
"tt0007117","movie","The Ne'er Do Well","The Ne'er Do Well",0,1916,"\N",140,"Adventure"
"tt0007167","movie","Peggy","Peggy",0,1916,"\N",70,"Comedy"
"tt0007168","movie","Die Peitsche","Die Peitsche",0,1916,"\N",85,"Action,Crime"
"tt0007170","movie","The People vs. John Doe","The People vs. John Doe",0,1916,"\N",60,"Drama"
"tt0007178","movie","The Phantom Buccaneer","The Phantom Buccaneer",0,1916,"\N",80,"Drama"
"tt0007183","movie","The Queen of Spades","Pikovaya dama",0,1916,"\N",63,"Drama,Fantasy,Horror"
"tt0007206","movie","The Power of Evil","The Power of Evil",0,1916,"\N",60,"Drama"
"tt0007229","movie","Purity","Purity",0,1916,"\N",70,"Drama"
"tt0007271","movie","Romeo and Juliet","Romeo and Juliet",0,1916,"\N",70,"Drama"
"tt0007272","movie","Romeo and Juliet","Romeo and Juliet",0,1916,"\N",80,"Drama,Romance"
