"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0039965","movie","Viva Chihuahua","Viva Chihuahua",0,1961,"\N",80,"Comedy,Western"
"tt0044932","movie","Murder on the Campus","Out of the Shadow",0,1961,"\N",61,"Mystery"
"tt0045136","movie","Semmelweis","Semmelweis",0,1961,"\N",105,"Drama"
"tt0051536","movie","Devil's Partner","Devil's Partner",0,1961,"\N",73,"Horror"
"tt0051601","movie","Fantasmas en la casa","Fantasmas en la casa",0,1961,"\N",80,"Comedy"
"tt0051925","movie","Beautiful and Beloved Mexico","México lindo y querido",0,1961,"\N",90,"Musical"
"tt0052158","movie","Santo vs. Infernal Men","Santo contra hombres infernales",0,1961,"\N",74,"Adventure,Mystery"
"tt0052159","movie","Santo vs. the Evil Brain","Santo contra cerebro del mal",0,1961,"\N",70,"Action,Adventure,Sci-Fi"
"tt0052376","movie","War Is Hell","War Is Hell",0,1961,"\N",81,"Drama,War"
"tt0052729","movie","Despedida de soltero","Despedida de soltero",0,1961,"\N",76,"Comedy"
"tt0052748","movie","Don José, Pepe y Pepito","Don José, Pepe y Pepito",0,1961,"\N",77,"Comedy"
"tt0052756","movie","Dostigaev i drugie","Dostigaev i drugie",0,1961,"\N",101,"Drama"
"tt0052768","movie","The Brute","Dúvad",0,1961,"\N",96,"Drama"
"tt0052774","movie","Ellas también son rebeldes","Ellas también son rebeldes",0,1961,"\N",92,"Crime,Drama"
"tt0052868","movie","Gundown at Sandoval","Gundown at Sandoval",0,1961,"\N",72,"Western"
"tt0053254","movie","Gli scontenti","Gli scontenti",0,1961,"\N",80,"Comedy"
"tt0053568","movie","Goodbye Mimi Pompon","Adiós, Mimí Pompón",0,1961,"\N",102,"Comedy"
"tt0053577","movie","Aimless Bullet","Obaltan",0,1961,"\N",110,"Drama"
"tt0053585","movie","Alma aragonesa","Alma aragonesa",0,1961,"\N",92,"Drama"
"tt0053587","movie","Alyoshkina lyubov","Alyoshkina lyubov",0,1961,"\N",88,"Comedy,Drama,Romance"
"tt0053600","movie","The Illiterate One","El analfabeto",0,1961,"\N",128,"Comedy"
"tt0053605","movie","Aproape de soare","Aproape de soare",0,1961,"\N",98,"Drama"
"tt0053610","movie","Atlas","Atlas",0,1961,"\N",79,"Action,Adventure,Drama"
"tt0053620","movie","Red Blossoms","Azahares rojos",0,1961,"\N",90,"Drama"
"tt0053628","movie","Baltiyskoe nebo","Baltiyskoe nebo",0,1961,"\N",163,"Drama,History,War"
"tt0053632","movie","Bandits of Orgosolo","Banditi a Orgosolo",0,1961,"\N",95,"Drama"
"tt0053669","movie","Botón de ancla","Botón de ancla",0,1961,"\N",93,"Comedy,Drama,Musical"
"tt0053695","movie","Captain Fracasse","Le capitaine Fracasse",0,1961,"\N",108,"Action,Adventure"
"tt0053704","movie","Tonight or Never","Ce soir ou jamais",0,1961,"\N",104,"Comedy,Drama"
"tt0053707","movie","Che gioia vivere","Che gioia vivere",0,1961,"\N",132,"Comedy"
"tt0053712","movie","Clear Skies","Chistoe nebo",0,1961,"\N",110,"Drama,Romance,War"
"tt0053714","movie","Le ciel et la boue","Le ciel et la boue",0,1961,"\N",92,"Documentary"
"tt0053726","movie","Black Tights","1-2-3-4 ou Les collants noirs",0,1961,"\N",140,"Drama,Musical"
"tt0053743","movie","Csutak és a szürke ló","Csutak és a szürke ló",0,1961,"\N",79,"Adventure"
"tt0053749","movie","In The Water... Which Makes Bubbles!...","Dans l'eau... qui fait des bulles!...",0,1961,"\N",90,"Comedy,Crime"
"tt0053784","movie","Droga na zachód","Droga na zachód",0,1961,"\N",79,"Action,War"
"tt0053786","movie","El duende y yo","El duende y yo",0,1961,"\N",90,"Comedy,Fantasy"
"tt0053801","movie","Las estrellas","Las estrellas",0,1961,"\N",80,"Comedy"
"tt0053822","movie","The Festival Girls","The Festival Girls",0,1961,"\N",76,"Drama"
"tt0053823","movie","Festival en Benidorm","Festival en Benidorm",0,1961,"\N",88,"Comedy,Musical"
"tt0053829","movie","Flucht nach Berlin","Flucht nach Berlin",0,1961,"\N",104,"Drama,Thriller"
"tt0053834","movie","Frau Irene Besser","Frau Irene Besser",0,1961,"\N",93,"Drama"
"tt0053860","movie","Geständnis einer Sechzehnjährigen","Geständnis einer Sechzehnjährigen",0,1961,"\N",80,"Drama"
"tt0053872","movie","Wise Guys","Les godelureaux",0,1961,"\N",99,"Drama"
"tt0053889","movie","Hand in Hand","Hand in Hand",0,1961,"\N",78,"Drama,Family"
"tt0053894","movie","There Is Someone Behind the Door","Hay alguien detrás de la puerta",0,1961,"\N",89,"Drama"
"tt0053903","movie","The Hellfire Club","The Hellfire Club",0,1961,"\N",94,"Adventure"
"tt0053913","movie","Highway to Battle","Highway to Battle",0,1961,"\N",71,"Drama"
"tt0053942","movie","The Impersonator","The Impersonator",0,1961,"\N",64,"Mystery"
"tt0053953","movie","I Love, You Love","Io amo, tu ami",0,1961,"\N",90,"Documentary"
"tt0053968","movie","The Guns of Juana Gallo","Juana Gallo",0,1961,"\N",120,"Drama,War"
"tt0053973","movie","Julia y el celacanto","Julia y el celacanto",0,1961,"\N",90,"Comedy"
"tt0053979","movie","Young People","Los jóvenes",0,1961,"\N",100,"Crime,Drama,Thriller"
"tt0053988","movie","Kauf dir einen bunten Luftballon","Kauf dir einen bunten Luftballon",0,1961,"\N",102,"Comedy"
"tt0054013","movie","The Thief of Baghdad","Il ladro di Bagdad",0,1961,"\N",100,"Adventure,Family,Fantasy"
"tt0054018","movie","Las Leandras","Las Leandras",0,1961,"\N",87,"Comedy,Drama,Musical"
"tt0054035","movie","Living Venus","Living Venus",0,1961,"\N",76,"Drama"
"tt0054037","movie","Jungle Fighters","The Long and the Short and the Tall",0,1961,"\N",110,"Drama,War"
"tt0054054","movie","The Curse of Nostradamus","La maldición de Nostradamus",0,1961,"\N",78,"Horror,Mystery,Thriller"
"tt0054060","movie","La marca del muerto","La marca del muerto",0,1961,"\N",74,"Horror,Sci-Fi"
"tt0054064","movie","The Marriage-Go-Round","The Marriage-Go-Round",0,1961,"\N",98,"Comedy"
"tt0054069","movie","Naked Autumn","Les mauvais coups",0,1961,"\N",98,"Drama"
"tt0054070","movie","Mañana serán hombres","Mañana serán hombres",0,1961,"\N",100,"Drama"
"tt0054071","movie","Me faire ça à moi","Me faire ça à moi",0,1961,"\N",85,"Thriller"
"tt0054077","movie","La menace","La menace",0,1961,"\N",80,"Drama"
"tt0054094","movie","La morte-saison des amours","La morte-saison des amours",0,1961,"\N",100,"Comedy,Drama"
"tt0054106","movie","Mother Courage and Her Children","Mutter Courage und ihre Kinder",0,1961,"\N",151,"Drama,War"
"tt0054107","movie","Killers on Parade","Yûhi ni akai ore no kao",0,1961,"\N",82,"Action,Crime"
"tt0054111","movie","The Naked Witch","The Naked Witch",0,1961,"\N",59,"Horror"
"tt0054130","movie","La Notte","La notte",0,1961,"\N",122,"Drama"
"tt0054137","movie","Mexican Eyes","Ojos tapatios",0,1961,"\N",90,"Drama,Musical"
"tt0054149","movie","Be Careful, Grandma!","Ostorozhno, babushka!",0,1961,"\N",88,"Comedy,Musical"
"tt0054154","movie","Pagan Island","Pagan Island",0,1961,"\N",67,"Action,Adventure"
"tt0054156","movie","Paris Belongs to Us","Paris nous appartient",0,1961,"\N",141,"Drama,Mystery,Thriller"
"tt0054163","movie","Patricia mía","Patricia mía",0,1961,"\N",78,"Comedy"
"tt0054194","movie","Policejní hodina","Policejní hodina",0,1961,"\N",95,"Drama"
"tt0054199","movie","The Story of the Flaming Years","Povest plamennykh let",0,1961,"\N",91,"Drama,War"
"tt0054208","movie","Princess of Cleves","La princesse de Clèves",0,1961,"\N",101,"Drama,History,Romance"
"tt0054210","movie","Shadows of Adultery","La proie pour l'ombre",0,1961,"\N",95,"Drama"
"tt0054213","movie","Pryzhok na zare","Pryzhok na zare",0,1961,"\N",101,"War"
"tt0054217","movie","As Pupilas do Senhor Reitor","As Pupilas do Senhor Reitor",0,1961,"\N",110,"Romance"
"tt0054225","movie","Girl with a Suitcase","La ragazza con la valigia",0,1961,"\N",121,"Drama,Romance"
"tt0054239","movie","Drakut the Avenger","Drakut il vendicatore",0,1961,"\N",93,"Action,Adventure,Drama"
"tt0054245","movie","Revolt of the Mercenaries","La rivolta dei mercenari",0,1961,"\N",98,"Drama"
"tt0054254","movie","El rufián","El rufián",0,1961,"\N",120,"Drama,Thriller"
"tt0054259","movie","Love Play","La récréation",0,1961,"\N",87,"Drama"
