"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0037683","movie","Estaba escrito","Estaba escrito",0,1949,"\N",89,"Drama"
"tt0037696","movie","The Marriage of Figaro","Figaros Hochzeit",0,1949,"\N",107,"Musical,Romance"
"tt0037925","movie","The Holy Nun","Monaca santa",0,1949,"\N",85,"Drama"
"tt0037934","movie","Münchnerinnen","Münchnerinnen",0,1949,"\N",86,"Comedy"
"tt0038252","movie","Wie sagen wir es unseren Kindern?","Wie sagen wir es unseren Kindern?",0,1949,"\N",89,"Comedy,Family"
"tt0039131","movie","Addio Mimí!","Addio Mimí!",0,1949,"\N",88,"Drama"
"tt0039660","movie","Night Unto Night","Night Unto Night",0,1949,"\N",84,"Drama,Romance"
"tt0039663","movie","Noche de Reyes","Noche de Reyes",0,1949,"\N",87,"Drama"
"tt0039679","movie","Once Upon a Dream","Once Upon a Dream",0,1949,"\N",87,"Comedy,Romance"
"tt0039822","movie","Le Silence de la Mer","Le silence de la mer",0,1949,"\N",87,"Drama,Romance,War"
"tt0040071","movie","The Accused","The Accused",0,1949,"\N",101,"Drama,Film-Noir,Thriller"
"tt0040088","movie","Out on the Big Ranch","Allá en el Rancho Grande",0,1949,"\N",98,"Comedy,Drama,Musical"
"tt0040090","movie","Les amants de Vérone","Les amants de Vérone",0,1949,"\N",105,"Drama"
"tt0040108","movie","Aquellas palabras","Aquellas palabras",0,1949,"\N",82,"Drama,Romance,War"
"tt0040137","movie","The Walls of Malapaga","Le mura di Malapaga",0,1949,"\N",104,"Drama,Romance"
"tt0040138","movie","The Inn of Sin","L'auberge du péché",0,1949,"\N",108,"Crime,Drama"
"tt0040145","movie","Badger's Green","Badger's Green",0,1949,"\N",62,"Comedy"
"tt0040197","movie","Calabacitas tiernas","Calabacitas tiernas",0,1949,"\N",101,"Comedy,Musical"
"tt0040212","movie","Loyola, the Soldier Saint","El capitán de Loyola",0,1949,"\N",100,"Biography,Drama,History"
"tt0040221","movie","Caught","Caught",0,1949,"\N",88,"Drama,Film-Noir,Romance"
"tt0040222","movie","Cenerentola","Cenerentola",0,1949,"\N",96,"Comedy,Music,Romance"
"tt0040229","movie","Chicken Every Sunday","Chicken Every Sunday",0,1949,"\N",94,"Comedy,Drama,Romance"
"tt0040235","movie","City of Pain","La città dolente",0,1949,"\N",110,"Drama"
"tt0040259","movie","Currito de la Cruz","Currito de la Cruz",0,1949,"\N",98,"Drama"
"tt0040265","movie","La dama del velo","La dama del velo",0,1949,"\N",104,"Drama"
"tt0040283","movie","Last Love","Dernier amour",0,1949,"\N",99,"Drama"
"tt0040295","movie","Doce horas de vida","Doce horas de vida",0,1949,"\N",84,"Drama,Thriller"
"tt0040297","movie","Don Juan de Serrallonga","Don Juan de Serrallonga",0,1949,"\N",90,"Drama"
"tt0040319","movie","En un rincón de España","En un rincón de España",0,1949,"\N",109,"Drama"
"tt0040340","movie","The Perez Family","La familia Pérez",0,1949,"\N",93,"Comedy,Drama"
"tt0040341","movie","Una familia de tantas","Una familia de tantas",0,1949,"\N",130,"Drama"
"tt0040348","movie","The Farm of Seven Sins","La ferme des sept péchés",0,1949,"\N",90,"Biography,Drama,History"
"tt0040363","movie","The Fool and the Princess","The Fool and the Princess",0,1949,"\N",72,"Drama,Romance"
"tt0040365","movie","Forbidden","Forbidden",0,1949,"\N",87,"Drama,Thriller"
"tt0040368","movie","Forró mezök","Forró mezök",0,1949,"\N",94,"Drama"
"tt0040377","movie","¡Fuego!","¡Fuego!",0,1949,"\N",85,"Drama"
"tt0040406","movie","William Tell","Guglielmo Tell",0,1949,"\N",91,"Drama"
"tt0040425","movie","Hay lugar para... dos","Hay lugar para... dos",0,1949,"\N",118,"Drama"
"tt0040477","movie","The Invisible Man Appears","Tômei ningen arawaru",0,1949,"\N",87,"Horror,Sci-Fi"
"tt0040482","movie","It's Not Cricket","It's Not Cricket",0,1949,"\N",77,"Adventure,Comedy"
"tt0040484","movie","Jalisco canta en Sevilla","Jalisco canta en Sevilla",0,1949,"\N",113,"Comedy,Musical"
"tt0040487","movie","Jean de la Lune","Jean de la Lune",0,1949,"\N",94,"Comedy"
"tt0040497","movie","Jour de Fête","Jour de fête",0,1949,"\N",70,"Comedy"
"tt0040527","movie","Lang ist der Weg","Lang ist der Weg",0,1949,"\N",77,"Drama,War"
