"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0021477","movie","Timbuctoo","Timbuctoo",0,1933,"\N",72,"Comedy"
"tt0021839","movie","Esperáme","Esperáme",0,1933,"\N",70,"Drama,Musical"
"tt0022706","movie","Born Lucky","Born Lucky",0,1933,"\N",78,"Musical"
"tt0022754","movie","Channel Crossing","Channel Crossing",0,1933,"\N",70,"Crime,Drama"
"tt0022762","movie","Chotard and Company","Chotard et Cie",0,1933,"\N",83,"Comedy"
"tt0022803","movie","A Daughter of Her People","A Daughter of Her People",0,1933,"\N",75,"Drama"
"tt0022819","movie","Diamond Trail","Diamond Trail",0,1933,"\N",61,"Action,Adventure,Drama"
"tt0022867","movie","Ecstasy","Ekstase",0,1933,"\N",82,"Drama,Romance"
"tt0022880","movie","Fargo Express","Fargo Express",0,1933,"\N",61,"Western"
"tt0023048","movie","Kantor ideál","Kantor ideál",0,1933,"\N",85,"Comedy"
"tt0023064","movie","The Intruder","The Intruder",0,1933,"\N",66,"Adventure,Drama,Mystery"
"tt0023070","movie","Judgment of Lake Balaton","Ítél a Balaton",0,1933,"\N",58,"Drama"
"tt0023130","movie","Let Me Explain, Dear","Let Me Explain, Dear",0,1933,"\N",75,"Comedy"
"tt0023131","movie","Letting in the Sunshine","Letting in the Sunshine",0,1933,"\N",73,"Comedy,Crime"
"tt0023205","movie","Melodía de arrabal","Melodía de arrabal",0,1933,"\N",94,"Musical,Romance"
"tt0023235","movie","The Monkey's Paw","The Monkey's Paw",0,1933,"\N",58,"Horror"
"tt0023563","movie","The Testament of Dr. Mabuse","Das Testament des Dr. Mabuse",0,1933,"\N",122,"Crime,Horror,Mystery"
"tt0023618","movie","I Sing for You Alone","Tre uomini in frak",0,1933,"\N",70,"Comedy"
"tt0023643","movie","Die unsichtbare Front","Die unsichtbare Front",0,1933,"\N",85,"Drama"
"tt0023671","movie","What Men Know","Was wissen denn Männer",0,1933,"\N",92,"Drama"
"tt0023713","movie","Yes, Mr. Brown","Yes, Mr. Brown",0,1933,"\N",90,"Comedy,Musical"
"tt0023714","movie","Yiskor","Yiskor",0,1933,"\N",80,"Drama"
"tt0023729","movie","Gesuzza the Garibaldian Wife","1860",0,1933,"\N",80,"Drama,History"
"tt0023734","movie","Abenteuer am Lido","Abenteuer am Lido",0,1933,"\N",91,"Comedy"
"tt0023735","movie","The Adventures of King Pausole","Die Abenteuer des Königs Pausole",0,1933,"\N",80,"Comedy"
"tt0023736","movie","Acciaio","Acciaio",0,1933,"\N",67,"Drama"
