"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0015724","movie","Dama de noche","Dama de noche",0,1993,"\N",102,"Drama,Mystery,Romance"
"tt0081145","movie","Me and the Kid","Me and the Kid",0,1993,"\N",94,"Comedy,Crime,Drama"
"tt0084551","movie","The Buddhist Spell","Pu ti you hun",0,1993,"\N",91,"Comedy,Drama,Fantasy"
"tt0084870","movie","Memories and Confessions","Visita ou Memórias e Confissões",0,1993,"\N",73,"Biography,History"
"tt0095745","movie","Ninja Vengeance","Ninja Vengeance",0,1993,"\N",87,"Action,Drama"
"tt0096090","movie","Leung seung ching yuen","Leung seung ching yuen",0,1993,"\N",87,"Action,Romance"
"tt0097984","movie","Ninja in Ancient China","Shen tong",0,1993,"\N",92,"Action,Adventure,Drama"
"tt0098707","movie","The Final Judgement","Ji hap chong see: Gung sam",0,1993,"\N",93,"Crime,Mystery"
"tt0098965","movie","Little Ninjas","Little Ninjas",0,1993,"\N",100,"Action,Adventure,Comedy"
"tt0099640","movie","El general y la fiebre","El general y la fiebre",0,1993,"\N",85,"Drama,History"
"tt0100548","movie","Threesome Wild","Sapore di donna",0,1993,"\N",89,"Drama,Romance"
"tt0101644","movie","Finale in Blood","Dai lau Gwong Cheong Lung",0,1993,"\N",94,"Comedy,Drama,Horror"
"tt0101928","movie","Full Impact","Full Impact",0,1993,"\N",72,"Action"
"tt0101996","movie","Hammers Over the Anvil","Hammers Over the Anvil",0,1993,"\N",97,"Biography,Drama,Romance"
"tt0102222","movie","Kiss and Be Killed","Kiss and Be Killed",0,1993,"\N",92,"Drama,Horror,Thriller"
"tt0102253","movie","The Greek Labyrinth","El laberinto griego",0,1993,"\N",96,"Thriller"
"tt0102821","movie","Russian Holiday","Russian Holiday",0,1993,"\N",89,"Crime,Drama,Thriller"
"tt0103022","movie","In a Moment of Passion","In a Moment of Passion",0,1993,"\N",100,"Drama,Thriller"
"tt0103124","movie","Tropical Heat","Tropical Heat",0,1993,"\N",86,"Crime,Drama,Mystery"
"tt0103148","movie","El tío del saco y el inspector Lobatón","El tío del saco y el inspector Lobatón",0,1993,"\N",80,"Comedy"
"tt0103206","movie","The Milky Life","La vida láctea",0,1993,"\N",79,"Comedy,Fantasy"
"tt0103592","movie","1/3 Lover","1/3 qing ren",0,1993,"\N",85,"Action,Comedy,Drama"
"tt0103632","movie","Ming Ghost","Sheng nu de yu wang",0,1993,"\N",96,"Drama"
"tt0103664","movie","Amami","Amami",0,1993,"\N",91,"Comedy"
"tt0103699","movie","Secret Love in Peach Blossom Land","An lian tao hua yuan",0,1993,"\N",107,"Comedy,Drama,History"
"tt0103714","movie","L'arche et les déluges","L'arche et les déluges",0,1993,"\N",100,"Documentary"
"tt0103726","movie","Assolto per aver commesso il fatto","Assolto per aver commesso il fatto",0,1993,"\N",118,"Comedy"
"tt0103739","movie","Automne... Octobre à Alger","Automne... Octobre à Alger",0,1993,"\N",92,"Drama"
"tt0103740","movie","Averills Ankommen","Averills Ankommen",0,1993,"\N",95,"Drama"
"tt0103743","movie","The Eight Immortals Restaurant: The Untold Story","Bat sin fan dim: Yan yuk cha siu bau",0,1993,"\N",96,"Comedy,Crime,Horror"
"tt0103744","movie","The Avenging Quartet","Ba hai hong ying",0,1993,"\N",96,"Action"
"tt0103770","movie","Barmherzige Schwestern","Barmherzige Schwestern",0,1993,"\N",94,"Comedy"
"tt0103771","movie","Fray Bartolomé de las Casas","Fray Bartolomé de las Casas",0,1993,"\N",127,"Drama"
"tt0103792","movie","White King, Red Queen (Russians)","Belyy korol, krasnaya koroleva (Russkie)",0,1993,"\N",86,"Romance"
"tt0103805","movie","Beyond the Law","Beyond the Law",0,1993,"\N",108,"Crime,Drama,Thriller"
