"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0023755","movie","All at Sea","All at Sea",0,1936,"\N",60,"Comedy"
"tt0024015","movie","The First Offence","The First Offence",0,1936,"\N",66,"Drama"
"tt0024401","movie","Oggi sposi","Oggi sposi",0,1936,"\N",72,"Comedy"
"tt0024975","movie","Chick","Chick",0,1936,"\N",72,"Comedy"
"tt0025252","movie","La hija del penal","La hija del penal",0,1936,"\N",88,"Comedy,Musical"
"tt0025426","movie","Here Comes Carter","Here Comes Carter",0,1936,"\N",58,"Comedy,Crime,Drama"
"tt0025438","movie","Dimmed Lights","Luci sommerse",0,1936,"\N",74,"Drama"
"tt0025470","movie","The Wedding March","La marcia nuziale",0,1936,"\N",92,"Comedy"
"tt0025654","movie","Pierpin","Pierpin",0,1936,"\N",74,"Romance"
"tt0026049","movie","Al khet","Al khet",0,1936,"\N",93,"Drama"
"tt0026067","movie","I Love You Only","Amo te sola",0,1936,"\N",79,"Comedy"
"tt0026100","movie","Barátságos arcot kérek","Barátságos arcot kérek",0,1936,"\N",70,"Comedy"
"tt0026119","movie","A Greater Promise","Iskateli schastya",0,1936,"\N",84,"Drama"
"tt0026168","movie","100 Days of Napoleon","Campo di maggio",0,1936,"\N",90,"Drama"
"tt0026191","movie","Ceiling Zero","Ceiling Zero",0,1936,"\N",95,"Adventure,Drama,Romance"
"tt0026192","movie","Celos","Celos",0,1936,"\N",79,"Drama"
"tt0026202","movie","Cheer Up","Cheer Up",0,1936,"\N",72,"Musical"
"tt0026274","movie","Devdas","Devdas",0,1936,"\N",139,"Drama,Romance"
"tt0026284","movie","Dodek na froncie","Dodek na froncie",0,1936,"\N",82,"Comedy"
"tt0026286","movie","Don Bosco","Don Bosco",0,1936,"\N",90,"Biography"
"tt0026326","movie","Excuse My Glove","Excuse My Glove",0,1936,"\N",75,"Comedy,Sport"
"tt0026348","movie","God's Will Be Done","Fiat voluntas dei",0,1936,"\N",80,"Comedy,Drama"
"tt0026387","movie","From Nine to Nine","From Nine to Nine",0,1936,"\N",74,"Crime,Drama,Mystery"
"tt0026522","movie","The Improper Duchess","The Improper Duchess",0,1936,"\N",80,"Comedy"
"tt0026533","movie","The Invader","The Invader",0,1936,"\N",61,"Comedy"
"tt0026545","movie","His Big Love","Jego wielka milosc",0,1936,"\N",82,"Drama"
"tt0026560","movie","Catherine the Last","Katharina, die Letzte",0,1936,"\N",89,"Comedy"
"tt0026571","movie","King of Burlesque","King of Burlesque",0,1936,"\N",90,"Drama,Musical,Romance"
"tt0026606","movie","The Last Journey","The Last Journey",0,1936,"\N",66,"Crime,Drama"
"tt0026624","movie","Die letzten Vier von Santa Cruz","Die letzten Vier von Santa Cruz",0,1936,"\N",80,"Drama"
"tt0026690","movie","María Elena","María Elena",0,1936,"\N",76,"Drama,Romance"
"tt0026715","movie","Milizia territoriale","Milizia territoriale",0,1936,"\N",75,"Comedy"
"tt0026736","movie","Una mujer en peligro","Una mujer en peligro",0,1936,"\N",85,"Comedy"
"tt0026746","movie","Music Hath Charms","Music Hath Charms",0,1936,"\N",70,"Musical"
"tt0026820","movie","One Good Turn","One Good Turn",0,1936,"\N",72,"Comedy"
"tt0026839","movie","Paddy O'Day","Paddy O'Day",0,1936,"\N",76,"Comedy,Drama,Music"
"tt0026874","movie","Three Women","Podrugi",0,1936,"\N",95,"Drama,Romance,War"
"tt0026913","movie","The King's Jester","Il re Burlone",0,1936,"\N",94,"Drama"
"tt0026932","movie","Riffraff","Riffraff",0,1936,"\N",94,"Crime,Drama"
"tt0027078","movie","Tarass Boulba","Tarass Boulba",0,1936,"\N",87,"Action,Drama,History"
"tt0027098","movie","Three Live Ghosts","Three Live Ghosts",0,1936,"\N",61,"Comedy,Crime,Romance"
"tt0027106","movie","Ticket of Leave","Ticket of Leave",0,1936,"\N",69,"Crime"
"tt0027117","movie","College is a Nice Place","Daigaku yoitoko",0,1936,"\N",114,"Comedy"
"tt0027170","movie","Veinte mil duros","Veinte mil duros",0,1936,"\N",84,"Comedy"
"tt0027173","movie","La vie parisienne","La vie parisienne",0,1936,"\N",95,"Comedy"
"tt0027190","movie","Once in a Million","Once in a Million",0,1936,"\N",62,"Comedy"
"tt0027231","movie","Yidl mitn fidl","Yidl mitn fidl",0,1936,"\N",92,"Comedy,Musical,Romance"
"tt0027240","movie","Let's Go with Pancho Villa","Vámonos con Pancho Villa!",0,1936,"\N",92,"Drama,War"
"tt0027246","movie","33.333","33.333",0,1936,"\N",85,"Drama"
"tt0027247","movie","36 Hours to Kill","36 Hours to Kill",0,1936,"\N",66,"Drama,Romance"
"tt0027248","movie","65, 66, and Me","65, 66 och jag",0,1936,"\N",89,"Comedy"
"tt0027249","movie","The Paris Adventure","Der Abenteurer von Paris",0,1936,"\N",81,"Romance"
"tt0027250","movie","Absolute Quiet","Absolute Quiet",0,1936,"\N",70,"Drama"
"tt0027252","movie","Accused","Accused",0,1936,"\N",83,"Crime,Drama"
"tt0027253","movie","The Accusing Finger","The Accusing Finger",0,1936,"\N",61,"Action,Crime,Drama"
"tt0027254","movie","Ace Drummond","Ace Drummond",0,1936,"\N",255,"Action,Adventure"
"tt0027255","movie","Aces and Eights","Aces and Eights",0,1936,"\N",62,"Action,Crime,Western"
"tt0027256","movie","Achhut Kanya","Achhut Kanya",0,1936,"\N",142,"Drama,Musical,Romance"
"tt0027257","movie","Ada, Don't Do That!","Ada! To nie wypada!",0,1936,"\N",82,"Comedy,Musical"
"tt0027258","movie","Adventure in Manhattan","Adventure in Manhattan",0,1936,"\N",73,"Adventure,Comedy,Crime"
"tt0027259","movie","The Adventures of Frank Merriwell","The Adventures of Frank Merriwell",0,1936,"\N",219,"Action,Adventure,Mystery"
"tt0027260","movie","After the Thin Man","After the Thin Man",0,1936,"\N",112,"Comedy,Crime,Mystery"
"tt0027271","movie","Alibi for Murder","Alibi for Murder",0,1936,"\N",61,"Action,Adventure,Crime"
"tt0027272","movie","All American Chump","All American Chump",0,1936,"\N",63,"Comedy"
"tt0027274","movie","Alla tiders Karlsson","Alla tiders Karlsson",0,1936,"\N",73,"Comedy"
