"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0055329","movie","Probabilità zero","Probabilità zero",0,1969,"\N",95,"Action,Drama,War"
"tt0058199","movie","Un hombre solo","Un hombre solo",0,1969,"\N",87,"Drama"
"tt0058660","movie","A Time for Dying","A Time for Dying",0,1969,"\N",72,"Western"
"tt0058968","movie","Big Daddy","Big Daddy",0,1969,"\N",68,"Adventure,Drama,Thriller"
"tt0059099","movie","Desnuda en la arena","Desnuda en la arena",0,1969,"\N",90,"Comedy"
"tt0059768","movie","Susana","Susana",0,1969,"\N",95,"Comedy"
"tt0060066","movie","Adiós cordera","Adiós cordera",0,1969,"\N",85,"Drama"
"tt0060561","movie","Joë Caligula - Du suif chez les dabes","Joë Caligula - Du suif chez les dabes",0,1969,"\N",85,"Action,Crime,Drama"
"tt0060603","movie","Konto Gojugo-go: Uchu daibôken","Konto Gojugo-go: Uchu daibôken",0,1969,"\N",72,"Adventure,Comedy,Sci-Fi"
"tt0061412","movie","Blood of Dracula's Castle","Blood of Dracula's Castle",0,1969,"\N",84,"Horror"
"tt0061432","movie","Kiss Me Monster","Küss mich, Monster",0,1969,"\N",87,"Adventure,Horror,Mystery"
"tt0061453","movie","Two Undercover Angels","Rote Lippen, Sadisterotica",0,1969,"\N",92,"Comedy,Mystery,Thriller"
"tt0061580","movie","Ditirambo","Ditirambo",0,1969,"\N",103,"Comedy,Drama,Mystery"
"tt0061614","movie","Educando a una idiota","Educando a una idiota",0,1969,"\N",91,"Comedy"
"tt0061671","movie","Five the Hard Way","Five the Hard Way",0,1969,"\N",82,"Action,Sport"
"tt0061743","movie","Hamelín","Hamelín",0,1969,"\N",83,"Comedy,Family,Musical"
"tt0061769","movie","Trafic de filles","Trafic de filles",0,1969,"\N",87,"Crime,Drama"
"tt0061771","movie","El hombre de negro","El hombre de negro",0,1969,"\N",85,"Western"
"tt0061959","movie","El matrimonio es como el demonio","El matrimonio es como el demonio",0,1969,"\N",105,"Comedy,Romance"
"tt0062001","movie","The Girl of the Nile","La muchacha del Nilo",0,1969,"\N",81,"Adventure"
"tt0062021","movie","Mónica Stop","Mónica Stop",0,1969,"\N",87,"Musical"
"tt0062064","movie","Hate Is My God","L'odio è il mio Dio",0,1969,"\N",110,"Western"
"tt0062100","movie","Passion in Hot Hollows","Passion in Hot Hollows",0,1969,"\N",83,"Drama"
"tt0062102","movie","Pasto de fieras","Pasto de fieras",0,1969,"\N",88,"Drama"
"tt0062255","movie","Madame Death","La señora Muerte",0,1969,"\N",85,"Horror,Mystery,Sci-Fi"
"tt0062275","movie","Skok","Skok",0,1969,"\N",85,"Action,Drama"
"tt0062433","movie","The Curious Dr. Humpp","La venganza del sexo",0,1969,"\N",87,"Horror,Sci-Fi"
"tt0062437","movie","Una vez al año ser hippy no hace daño","Una vez al año ser hippy no hace daño",0,1969,"\N",90,"Comedy,Musical"
"tt0062438","movie","Macabre","Viaje al vacío",0,1969,"\N",91,"Thriller"
"tt0062641","movie","Rautaciosul adolescent","Rautaciosul adolescent",0,1969,"\N",105,"Comedy,Drama"
"tt0062646","movie","Al rojo vivo","Al rojo vivo",0,1969,"\N",102,"Drama"
"tt0062647","movie","Alfa Romeó és Júlia","Alfa Romeó és Júlia",0,1969,"\N",102,"Comedy,Romance"
"tt0062648","movie","Algo amargo en la boca","Algo amargo en la boca",0,1969,"\N",91,"Drama"
"tt0062649","movie","All Neat in Black Stockings","All Neat in Black Stockings",0,1969,"\N",96,"Comedy,Drama"
"tt0062655","movie","The Bandit","L'amante di Gramigna",0,1969,"\N",108,"Crime,Drama,Romance"
"tt0062663","movie","L'amour fou","L'amour fou",0,1969,"\N",252,"Drama,Romance"
"tt0062664","movie","L'amour","L'amour",0,1969,"\N",88,"Drama"
"tt0062693","movie","Baby Love","Baby Love",0,1969,"\N",93,"Drama"
"tt0062714","movie","The Battle of El Alamein","La battaglia di El Alamein",0,1969,"\N",96,"Action,Drama,History"
"tt0062722","movie","That Splendid November","Un bellissimo novembre",0,1969,"\N",92,"Drama"
"tt0062743","movie","Blue Demon y las invasoras","Blue Demon y las invasoras",0,1969,"\N",87,"Fantasy,Sci-Fi,Thriller"
"tt0062745","movie","Blue Movie","Blue Movie",0,1969,"\N",105,"Drama,Romance"
"tt0062757","movie","Bratya Karamazovy","Bratya Karamazovy",0,1969,"\N",232,"Drama"
"tt0062759","movie","The Diamond Arm","Brilliantovaya ruka",0,1969,"\N",100,"Adventure,Comedy,Crime"
"tt0062769","movie","Bye bye, Barbara","Bye bye, Barbara",0,1969,"\N",100,"Comedy,Thriller"
"tt0062773","movie","Calcutta","Calcutta",0,1969,"\N",105,"Documentary"
"tt0062775","movie","La canción del olvido","La canción del olvido",0,1969,"\N",120,"Comedy,Musical"
"tt0062778","movie","Cantando a la vida","Cantando a la vida",0,1969,"\N",95,"Drama"
"tt0062783","movie","Catherine","Catherine",0,1969,"\N",110,"Action"
"tt0062786","movie","Honor and Glory","Cest a sláva",0,1969,"\N",87,"History"
"tt0062807","movie","Five for Hell","5 per l'inferno",0,1969,"\N",95,"Action,Adventure,War"
"tt0062808","movie","The Girl from Rio","Die sieben Männer der Sumuru",0,1969,"\N",94,"Action,Adventure"
"tt0062816","movie","Hell Commandos","Comando al infierno",0,1969,"\N",88,"Action,Drama,War"
"tt0062818","movie","Come, quando, perché","Come, quando, perché",0,1969,"\N",102,"Romance"
"tt0062831","movie","El crepúsculo de un dios","El crepúsculo de un dios",0,1969,"\N",95,"Drama"
"tt0062836","movie","The Exquisite Cadaver","Las crueles",0,1969,"\N",108,"Crime,Thriller"
"tt0062857","movie","The Dance of Death","The Dance of Death",0,1969,"\N",149,"Drama"
"tt0062867","movie","De Picos Pardos a la ciudad","De Picos Pardos a la ciudad",0,1969,"\N",100,"Comedy"
"tt0062870","movie","Marquis de Sade's Justine","Marquis de Sade: Justine",0,1969,"\N",90,"Drama"
"tt0062875","movie","The Challenges","Los desafíos",0,1969,"\N",102,"Drama"
"tt0062884","movie","Detektive","Detektive",0,1969,"\N",91,"Crime,Drama"
"tt0062893","movie","Dillinger Is Dead","Dillinger è morto",0,1969,"\N",95,"Crime,Drama"
"tt0062911","movie","A Dream of Freedom","En dröm om frihet",0,1969,"\N",86,"Crime"
"tt0062916","movie","Duet for Cannibals","Duett för kannibaler",0,1969,"\N",105,"Drama"
"tt0062923","movie","Ecce Homo","Ecce Homo",0,1969,"\N",99,"Sci-Fi,Thriller"
"tt0062934","movie","Enigma de muerte","Enigma de muerte",0,1969,"\N",90,"Horror,Mystery,Sci-Fi"
"tt0062957","movie","Fangs of the Living Dead","Malenka",0,1969,"\N",90,"Horror"
"tt0062963","movie","The Upthrown Stone","Feldobott kö",0,1969,"\N",91,"Drama"
"tt0062993","movie","Fuego","Fuego",0,1969,"\N",81,"Drama"
"tt0062995","movie","The Confrontation","Fényes szelek",0,1969,"\N",80,"Drama,Musical"
"tt0062997","movie","Le Gai Savoir","Le gai savoir",0,1969,"\N",95,"Drama"
"tt0063004","movie","Gendai yakuza: Yotamono no okite","Gendai yakuza: Yotamono no okite",0,1969,"\N",92,"Action,Crime"
"tt0063015","movie","Ich betone oben ohne - Das Go Go Girl vom Blow Up","Ich betone oben ohne - Das Go Go Girl vom Blow Up",0,1969,"\N",92,"Comedy"
"tt0063023","movie","The Adventures of Goopy and Bagha","Goopy Gyne Bagha Byne",0,1969,"\N",132,"Adventure,Comedy,Family"
"tt0063026","movie","Goto, Island of Love","Goto, l'île d'amour",0,1969,"\N",93,"Drama"
"tt0063027","movie","Gra","Gra",0,1969,"\N",91,"Drama"
"tt0063029","movie","The Big Ceremonial","Le grand cérémonial",0,1969,"\N",105,"Drama"
"tt0063039","movie","Guns in the Heather","Guns in the Heather",0,1969,"\N",180,"Adventure,Family"
"tt0063058","movie","Hell's Belles","Hell's Belles",0,1969,"\N",95,"Action,Drama,Thriller"
"tt0063075","movie","Holdudvar","Holdudvar",0,1969,"\N",98,"Drama"
"tt0063077","movie","Hombre en la trampa","Hombre en la trampa",0,1969,"\N",92,"Adventure"
"tt0063083","movie","A Bullet for Rommel","Hora cero: Operación Rommel",0,1969,"\N",104,"Drama,War"
"tt0063089","movie","Forbidden Hours","Horas prohibidas",0,1969,"\N",83,"Drama"
"tt0063090","movie","Night of the Bloody Apes","La horripilante bestia humana",0,1969,"\N",83,"Horror,Sci-Fi"
"tt0063093","movie","Hostile Witness","Hostile Witness",0,1969,"\N",101,"Drama"
"tt0063122","movie","I'm an Elephant, Madame","Ich bin ein Elefant, Madame",0,1969,"\N",100,"Comedy,Drama"
"tt0063130","movie","In Search of Gregory","In Search of Gregory",0,1969,"\N",90,"Drama,Mystery,Romance"
"tt0063133","movie","The Indelicate Balance","The Indelicate Balance",0,1969,"\N",88,"Drama"
"tt0063166","movie","Jungfer, Sie gefällt mir","Jungfer, Sie gefällt mir",0,1969,"\N",105,"Comedy"
"tt0063175","movie","A Member of the Firing Squad","Karatel",0,1969,"\N",85,"Drama,Romance"
"tt0063180","movie","Khozyain taygi","Khozyain taygi",0,1969,"\N",83,"Crime"
"tt0063193","movie","Three Golden Serpents","Kommissar X - Drei goldene Schlangen",0,1969,"\N",85,"Action,Adventure,Crime"
"tt0063200","movie","Krakh","Krakh",0,1969,"\N",190,"Biography,Drama,History"
"tt0063201","movie","Kuma Ching","Kuma Ching",0,1969,"\N",140,"Comedy"
"tt0063213","movie","The Layout","The Layout",0,1969,"\N",79,"Drama"
"tt0063221","movie","Apoi s-a nascut 'Legenda'","Apoi s-a nascut 'Legenda'",0,1969,"\N",96,"Drama"
"tt0063242","movie","Love Camp 7","Love Camp 7",0,1969,"\N",96,"Drama,Thriller,War"
"tt0063253","movie","Lyubov Serafima Frolova","Lyubov Serafima Frolova",0,1969,"\N",84,"Romance"
"tt0063263","movie","Misdeal","Maldonne",0,1969,"\N",96,"Mystery,Thriller"
"tt0063269","movie","Eat It","Eat It",0,1969,"\N",84,"Comedy"
"tt0063270","movie","The Man with the Glass Eye","Der Mann mit dem Glasauge",0,1969,"\N",87,"Crime,Drama"
"tt0063286","movie","Me and My Brother","Me and My Brother",0,1969,"\N",91,"Drama"
"tt0063310","movie","Mission Impossible Versus the Mob","Mission Impossible Versus the Mob",0,1969,"\N",110,"Action,Adventure"
"tt0063329","movie","Muzhskoy razgovor","Muzhskoy razgovor",0,1969,"\N",93,"Drama"
"tt0063333","movie","At War as at War","Na voyne, kak na voyne",0,1969,"\N",90,"War"
"tt0063340","movie","Attraction","Nerosubianco",0,1969,"\N",77,"Comedy,Fantasy,Music"
"tt0063363","movie","Nocturne 29","Nocturno 29",0,1969,"\N",86,"Drama,Horror,Mystery"
"tt0063401","movie","Out of It","Out of It",0,1969,"\N",95,"Comedy,Drama"
"tt0063403","movie","Diabolical Pact","Pacto diabólico",0,1969,"\N",90,"Horror,Sci-Fi,Thriller"
"tt0063407","movie","Death Knows No Time","Pagó cara su muerte",0,1969,"\N",97,"Action,Drama,Western"
