"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0011927","movie","Another Man's Boots","Another Man's Boots",0,1922,"\N",60,"Western"
"tt0012557","movie","The Passionate Friends","The Passionate Friends",0,1922,"\N",70,"Drama,Romance"
"tt0012692","movie","The Sin Flood","The Sin Flood",0,1922,"\N",70,"Drama"
"tt0012877","movie","Across the Continent","Across the Continent",0,1922,"\N",60,"Action,Sport,Thriller"
"tt0012881","movie","The Adventures of Robinson Crusoe","The Adventures of Robinson Crusoe",0,1922,"\N",360,"Adventure"
"tt0012885","movie","Alexandra","Alexandra",0,1922,"\N",83,"Drama"
"tt0012892","movie","Always the Woman","Always the Woman",0,1922,"\N",60,"Drama,Romance"
"tt0012893","movie","Amatörfilmen","Amatörfilmen",0,1922,"\N",65,"Drama"
"tt0012894","movie","Anderssonskans Kalle","Anderssonskans Kalle",0,1922,"\N",65,"Comedy,Drama,Family"
"tt0012898","movie","Anna Ascends","Anna Ascends",0,1922,"\N",60,"Drama,Romance"
"tt0012914","movie","The Bachelor Daddy","The Bachelor Daddy",0,1922,"\N",70,"Comedy"
"tt0012916","movie","Back Home and Broke","Back Home and Broke",0,1922,"\N",80,"Comedy"
"tt0012917","movie","Back Pay","Back Pay",0,1922,"\N",70,"Drama"
"tt0012926","movie","The Beautiful and Damned","The Beautiful and Damned",0,1922,"\N",70,"Drama"
"tt0012927","movie","The Beauty Shop","The Beauty Shop",0,1922,"\N",70,"Comedy"
"tt0012928","movie","Beauty's Worth","Beauty's Worth",0,1922,"\N",112,"Drama,Romance"
"tt0012933","movie","The Better Man Wins","The Better Man Wins",0,1922,"\N",64,"Action,Western"
"tt0012937","movie","Beyond the Rainbow","Beyond the Rainbow",0,1922,"\N",65,"Drama"
"tt0012938","movie","Beyond the Rocks","Beyond the Rocks",0,1922,"\N",80,"Drama,Romance"
"tt0012940","movie","Big Stakes","Big Stakes",0,1922,"\N",61,"Western"
"tt0012952","movie","Blood and Sand","Blood and Sand",0,1922,"\N",108,"Drama,Romance,Sport"
"tt0012958","movie","The Bohemian Girl","The Bohemian Girl",0,1922,"\N",70,"Romance"
"tt0012959","movie","The Bond Boy","The Bond Boy",0,1922,"\N",70,"Drama"
"tt0012960","movie","The Bonded Woman","The Bonded Woman",0,1922,"\N",60,"Adventure,Drama,Romance"
"tt0012961","movie","Boomerang Bill","Boomerang Bill",0,1922,"\N",60,"Action,Adventure,Crime"
"tt0012965","movie","Borderland","Borderland",0,1922,"\N",60,"Drama"
"tt0012968","movie","Bought and Paid For","Bought and Paid For",0,1922,"\N",60,"Drama"
"tt0012973","movie","The Burning Soil","Der brennende Acker",0,1922,"\N",98,"Drama"
"tt0012975","movie","The Bride's Play","The Bride's Play",0,1922,"\N",70,"Drama,Romance"
"tt0012979","movie","Broadway Rose","Broadway Rose",0,1922,"\N",60,"Drama,Romance"
