"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0065919","movie","The Wedding Day","Le jour de noces",0,1977,"\N",75,"Comedy"
"tt0066004","movie","Piao xiang jian yu","Piao xiang jian yu",0,1977,"\N",93,"Action,Romance"
"tt0066255","movie","Pucanj","Pucanj",0,1977,"\N",89,"Drama"
"tt0069666","movie","Thirty Maidens and Pythagoras","30 panen a Pythagoras",0,1977,"\N",68,"Comedy,Musical,Romance"
"tt0070756","movie","Supervan","Supervan",0,1977,"\N",91,"Action,Comedy"
"tt0071253","movie","Bruce Lee: A Dragon Story","Yong chun jie quan",0,1977,"\N",91,"Action,Biography,Drama"
"tt0071284","movie","Impossible Love","Casa Manchada",0,1977,"\N",102,"Drama,Romance"
"tt0071293","movie","Celedonio y yo somos así","Celedonio y yo somos así",0,1977,"\N",99,"Comedy"
"tt0071560","movie","Evil Town","Evil Town",0,1977,"\N",82,"Horror"
"tt0071668","movie","The Invincible Kung Fu Trio","Hong Xi Guan Fang Shi Yu Liu A Cai",0,1977,"\N",84,"Action,Drama"
"tt0071777","movie","Love at First Sight","Love at First Sight",0,1977,"\N",85,"Comedy,Romance"
"tt0071813","movie","Las marginadas","Las marginadas",0,1977,"\N",105,"Drama"
"tt0072373","movie","Virilidad a la española","Virilidad a la española",0,1977,"\N",92,"Comedy"
"tt0072389","movie","Warhead","Warhead",0,1977,"\N",90,"Action,Adventure,War"
"tt0072456","movie","Ésta que lo es...","Ésta que lo es...",0,1977,"\N",98,"Comedy"
"tt0072599","movie","Abelard","Abelard",0,1977,"\N",87,"Drama"
"tt0072602","movie","L'adieu nu","L'adieu nu",0,1977,"\N",63,"Drama"
"tt0072762","movie","Capulina Chisme Caliente","Capulina Chisme Caliente",0,1977,"\N",85,"Comedy"
"tt0072836","movie","Las cuatro novias de Augusto Pérez","Las cuatro novias de Augusto Pérez",0,1977,"\N",79,"Comedy,Drama"
"tt0072863","movie","El despertar de los sentidos","El despertar de los sentidos",0,1977,"\N",91,"Drama"
"tt0072914","movie","La dudosa virilidad de Cristóbal","La dudosa virilidad de Cristóbal",0,1977,"\N",95,"Comedy"
"tt0072975","movie","The Farmer","The Farmer",0,1977,"\N",97,"Action,Drama"
"tt0073321","movie","La lunga strada senza polvere","La lunga strada senza polvere",0,1977,"\N",92,"Drama,Mystery"
"tt0073359","movie","Maten al león","Maten al león",0,1977,"\N",129,"Adventure,Comedy,Drama"
"tt0073422","movie","Mustang: The House That Joe Built","Mustang: The House That Joe Built",0,1977,"\N",82,"Documentary"
"tt0073443","movie","Nenavist","Nenavist",0,1977,"\N",72,"Adventure"
"tt0073475","movie","Obsesión","Obsesión",0,1977,"\N",88,"Comedy"
"tt0073566","movie","The Perfect Killer","Quel pomeriggio maledetto",0,1977,"\N",85,"Crime,Drama"
