"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0016029","movie","The Little Colonel","The Little Colonel",0,1935,"\N",81,"Comedy,Family,Musical"
"tt0017961","movie","Happiness","Schaste",0,1935,"\N",95,"Comedy,Drama"
"tt0022986","movie","Red Army Days","Goryachie denyochki",0,1935,"\N",90,"Comedy,Romance"
"tt0023751","movie","Together in the Dark","Al buio insieme",0,1935,"\N",82,"Comedy"
"tt0023841","movie","Brewster's Millions","Brewster's Millions",0,1935,"\N",80,"Comedy,Musical"
"tt0024823","movie","All the King's Horses","All the King's Horses",0,1935,"\N",87,"Comedy,Musical,Romance"
"tt0024871","movie","Behind the Evidence","Behind the Evidence",0,1935,"\N",70,"Adventure,Crime,Drama"
"tt0024883","movie","Between Men","Between Men",0,1935,"\N",60,"Action,Drama,Romance"
"tt0024933","movie","Alias Bulldog Drummond","Bulldog Jack",0,1935,"\N",72,"Comedy,Crime,Mystery"
"tt0024942","movie","The Cactus Kid","The Cactus Kid",0,1935,"\N",58,"Western"
"tt0024950","movie","Three Cornered Hat","Il cappello a tre punte",0,1935,"\N",73,"Comedy"
"tt0024989","movie","The Clairvoyant","The Clairvoyant",0,1935,"\N",81,"Drama,Mystery,Romance"
"tt0024994","movie","Like the Leaves","Come le foglie",0,1935,"\N",80,"Comedy"
"tt0025176","movie","Vagabond Lady","Vagabond Lady",0,1935,"\N",71,"Comedy,Drama,Romance"
"tt0025191","movie","Behold the Man","Golgotha",0,1935,"\N",95,"Adventure,Drama"
"tt0025241","movie","Hermine und die sieben Aufrechten","Hermine und die sieben Aufrechten",0,1935,"\N",106,"Drama"
"tt0025339","movie","Kaguya hime","Kaguya hime",0,1935,"\N",75,"Drama"
"tt0025391","movie","Life Returns","Life Returns",0,1935,"\N",63,"Drama,Horror,Sci-Fi"
"tt0025411","movie","Little Mother","Kleine Mutti",0,1935,"\N",90,"Drama"
"tt0025462","movie","Manhattan Butterfly","Manhattan Butterfly",0,1935,"\N",73,"Crime,Drama,Music"
"tt0025527","movie","Murder at Monte Carlo","Murder at Monte Carlo",0,1935,"\N",70,"Crime,Drama"
"tt0025556","movie","Napoléon Bonaparte","Napoléon Bonaparte",0,1935,"\N",140,"Biography,Drama"
"tt0025584","movie","Odette","Odette",0,1935,"\N",70,"Drama"
"tt0025593","movie","Let's Live Tonight","Let's Live Tonight",0,1935,"\N",75,"Comedy,Music,Romance"
"tt0025594","movie","One in a Million","One in a Million",0,1935,"\N",66,"Drama"
