"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0003637","movie","Assunta Spina","Assunta Spina",0,1915,"\N",72,"Drama"
"tt0004026","movie","The Golem","Der Golem",0,1915,"\N",60,"Horror"
"tt0004712","movie","The Undesirable","A tolonc",0,1915,"\N",67,"Drama"
"tt0004854","movie","The Absentee","The Absentee",0,1915,"\N",60,"Drama,Romance"
"tt0004872","movie","Alias Jimmy Valentine","Alias Jimmy Valentine",0,1915,"\N",65,"Crime,Drama"
"tt0004942","movie","The Battle Cry of Peace","The Battle Cry of Peace",0,1915,"\N",90,"Drama"
"tt0004972","movie","The Birth of a Nation","The Birth of a Nation",0,1915,"\N",195,"Drama,History,War"
"tt0004974","movie","The Black Box","The Black Box",0,1915,"\N",195,"Drama,Sci-Fi"
"tt0005005","movie","The Broken Coin","The Broken Coin",0,1915,"\N",440,"Adventure,Mystery"
"tt0005039","movie","Business Is Business","Business Is Business",0,1915,"\N",60,"Drama"
"tt0005060","movie","Carmen","Carmen",0,1915,"\N",59,"Drama"
"tt0005073","movie","The Chalice of Courage","The Chalice of Courage",0,1915,"\N",65,"Action,Drama,Romance"
"tt0005078","movie","The Cheat","The Cheat",0,1915,"\N",59,"Drama,Romance"
"tt0005082","movie","A Child of the Prairie","A Child of the Prairie",0,1915,"\N",63,"Western"
"tt0005084","movie","Children of Eve","Children of Eve",0,1915,"\N",73,"Drama"
"tt0005105","movie","The College Orphan","The College Orphan",0,1915,"\N",60,"Comedy,Drama"
"tt0005149","movie","The Coward","The Coward",0,1915,"\N",77,"Drama,History,War"
"tt0005250","movie","The Eternal City","The Eternal City",0,1915,"\N",80,"Drama"
"tt0005302","movie","Fanchon, the Cricket","Fanchon, the Cricket",0,1915,"\N",75,"Drama"
"tt0005339","movie","A Fool There Was","A Fool There Was",0,1915,"\N",67,"Drama"
"tt0005402","movie","The Golden Chance","The Golden Chance",0,1915,"\N",74,"Drama"
