"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0067460","movie","My Kingdom For...","My Kingdom For...",0,1985,"\N",85,"Documentary,Sport"
"tt0068958","movie","El misterio de Cynthia Baird","El misterio de Cynthia Baird",0,1985,"\N",82,"Horror"
"tt0075211","movie","Shocking Asia II: The Last Taboos","Shocking Asia II: The Last Taboos",0,1985,"\N",91,"Documentary"
"tt0075745","movie","Beyond Reason","Beyond Reason",0,1985,"\N",88,"Drama"
"tt0080583","movie","Du zhou","Du zhou",0,1985,"\N",85,"Horror"
"tt0082674","movie","Long fa wei","Long fa wei",0,1985,"\N",98,"Action,Comedy,Fantasy"
"tt0083149","movie","Sword of Heaven","Sword of Heaven",0,1985,"\N",85,"Action,Crime,Fantasy"
"tt0083509","movie","24 Hours to Midnight","24 Hours to Midnight",0,1985,"\N",91,"Action"
"tt0084324","movie","Meri Jung","Meri Jung",0,1985,"\N",164,"Action,Drama"
"tt0084345","movie","My Friend Ivan Lapshin","Moy drug Ivan Lapshin",0,1985,"\N",100,"Drama"
"tt0085155","movie","Amada","Amada",0,1985,"\N",105,"Drama"
"tt0085185","movie","Atrapados en el miedo","Atrapados en el miedo",0,1985,"\N",83,"Drama,Horror"
"tt0085309","movie","El caso Matías","El caso Matías",0,1985,"\N",90,"Drama"
"tt0085345","movie","The City and the Dogs","La ciudad y los perros",0,1985,"\N",135,"Drama"
"tt0085437","movie","Crazy Shaolin Disciples","Di zi ye feng kuang",0,1985,"\N",93,"Action,Comedy"
"tt0085506","movie","Scapegoat","Escapada final (Scapegoat)",0,1985,"\N",89,"Crime"
"tt0085829","movie","De leeuw van Vlaanderen","De leeuw van Vlaanderen",0,1985,"\N",90,"Drama,War"
"tt0085860","movie","Lola the Truck Driving Woman","Lola la trailera",0,1985,"\N",105,"Action,Comedy,Crime"
"tt0085993","movie","Nasce Uma Mulher","Nasce Uma Mulher",0,1985,"\N",100,"Drama"
"tt0086030","movie","O strannostyakh lyubvi","O strannostyakh lyubvi",0,1985,"\N",84,"Romance"
"tt0086040","movie","Przeklete oko proroka","Przeklete oko proroka",0,1985,"\N",100,"Adventure,History"
"tt0086094","movie","El pequeño vagabundo","El pequeño vagabundo",0,1985,"\N",84,"Animation,Family"
"tt0086288","movie","Formula for a Murder","7, Hyden Park: la casa maledetta",0,1985,"\N",96,"Horror,Mystery,Thriller"
"tt0086330","movie","The Erotic Dreams of Cleopatra","Sogni erotici di Cleopatra",0,1985,"\N",86,"Romance"
"tt0086343","movie","Nothing Underneath","Sotto il vestito niente",0,1985,"\N",93,"Mystery,Thriller"
"tt0086424","movie","Tender Teenager","Tendre adolescente",0,1985,"\N",83,"Drama"
