"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0062936","movie","Enter the Game of Death","Si wang mo ta",0,1978,"\N",90,"Action,Drama"
"tt0068159","movie","The 72 Desperate Rebels","Qi shi er sha xing",0,1978,"\N",93,"Action,Drama"
"tt0068485","movie","Die Sister, Die!","Die Sister, Die!",0,1978,"\N",82,"Horror,Thriller"
"tt0068701","movie","Los hijos de Fierro","Los hijos de Fierro",0,1978,"\N",134,"Drama"
"tt0070818","movie","Like a Turtle on Its Back","La tortue sur le dos",0,1978,"\N",110,"Comedy,Drama"
"tt0071314","movie","China Behind","Zai jian Zhongguo",0,1978,"\N",110,"Drama"
"tt0071488","movie","Far Away and Long Ago","Allá lejos y hace tiempo",0,1978,"\N",110,"Drama"
"tt0071764","movie","Love and Rage","Ljubav i bijes",0,1978,"\N",95,"Adventure,Drama,Horror"
"tt0072626","movie","The House of the Dead","The House of the Dead",0,1978,"\N",79,"Horror"
"tt0073261","movie","Land of No Return","Land of No Return",0,1978,"\N",84,"Adventure"
"tt0073358","movie","Revenge of the Shaolin Kid","Gu tong xiao",0,1978,"\N",90,"Action,Drama"
"tt0073416","movie","Mule Feathers","Mule Feathers",0,1978,"\N",79,"Comedy,Western"
"tt0073610","movie","Roots of Blood","Raíces de sangre",0,1978,"\N",94,"Drama"
"tt0074141","movie","Rape of Love","L'amour violé",0,1978,"\N",115,"Drama"
"tt0074168","movie","Return of the Prodigal Son","Awdat al ibn al dal",0,1978,"\N",120,"Crime,Drama,Musical"
"tt0074197","movie","Una bella governante di colore","Una bella governante di colore",0,1978,"\N",97,"Comedy"
"tt0074289","movie","Casa dell'amore... la polizia interviene","Casa dell'amore... la polizia interviene",0,1978,"\N",85,"Crime,Mystery,Thriller"
"tt0074351","movie","Flesh Color","Couleur chair",0,1978,"\N",116,"Crime,Drama,Romance"
"tt0074438","movie","Drying Up the Streets","Drying Up the Streets",0,1978,"\N",90,"Drama"
"tt0074446","movie","Duma o Kovpake: Karpaty, Karpaty...","Duma o Kovpake: Karpaty, Karpaty...",0,1978,"\N",153,"Biography,War"
"tt0074516","movie","Fantasma en el Oeste","Fantasma en el Oeste",0,1978,"\N",104,"Action,Comedy,Western"
"tt0074556","movie","A Fuga","A Fuga",0,1978,"\N",110,"Drama,Thriller"
"tt0074756","movie","Der kleine Godard an das Kuratorium junger deutscher Film","Der kleine Godard an das Kuratorium junger deutscher Film",0,1978,"\N",84,"Family"
"tt0074804","movie","The Lyre of Delight","A Lira do Delírio",0,1978,"\N",105,"Drama"
"tt0074928","movie","Comando Txikia: Muerte de un presidente","Comando Txikia: Muerte de un presidente",0,1978,"\N",103,"Drama"
"tt0074984","movie","Nuevo mundo","Nuevo mundo",0,1978,"\N",95,"Drama,History"
"tt0075053","movie","Pepito piscina","Pepito piscina",0,1978,"\N",80,"Comedy"
"tt0075091","movie","The Last Mission of Demolitions Man Cloud","Posljednji podvig diverzanta Oblaka",0,1978,"\N",108,"Drama"
"tt0075112","movie","A Queda","A Queda",0,1978,"\N",120,"Drama"
"tt0075125","movie","Recompensa","Recompensa",0,1978,"\N",150,"Drama"
"tt0075157","movie","Rush It","Rush It",0,1978,"\N",78,"Comedy"
"tt0075388","movie","Vesenniy prizyv","Vesenniy prizyv",0,1978,"\N",93,"Drama"
"tt0075620","movie","The Bees","The Bees",0,1978,"\N",95,"Horror,Sci-Fi,Thriller"
"tt0075633","movie","Adela Has Not Had Supper Yet","Adéla jeste nevecerela",0,1978,"\N",102,"Comedy,Crime,Fantasy"
"tt0075656","movie","The Alien Factor","The Alien Factor",0,1978,"\N",80,"Horror,Sci-Fi"
"tt0075662","movie","The Alpha Incident","The Alpha Incident",0,1978,"\N",95,"Horror,Sci-Fi,Thriller"
"tt0075674","movie","Amerikai cigaretta","Amerikai cigaretta",0,1978,"\N",67,"Comedy,Drama"
"tt0075720","movie","Brothers Till We Die","La banda del gobbo",0,1978,"\N",95,"Action,Crime,Thriller"
"tt0075757","movie","Lone Wolf","Biryuk",0,1978,"\N",77,"Drama"
"tt0075772","movie","Blue Nude","Blue Nude",0,1978,"\N",92,"Crime,Drama,Thriller"
"tt0075785","movie","The Teacher","El brigadista",0,1978,"\N",113,"Drama"
"tt0075789","movie","Bruce Li the Invincible Chinatown Connection","Nan yang tang ren jie",0,1978,"\N",92,"Action,Adventure"
"tt0075802","movie","Palace Carnage","Can ku da ci sha",0,1978,"\N",88,"Action,Adventure"
"tt0075804","movie","Cananea","Cananea",0,1978,"\N",123,"Drama,History,Western"
"tt0075806","movie","A Man for Sale","Candido erotico",0,1978,"\N",94,"Drama"
"tt0075810","movie","Carne apaleada","Carne apaleada",0,1978,"\N",102,"Drama"
"tt0075811","movie","The Sorcerer's Apprentice","Carodejuv ucen",0,1978,"\N",73,"Animation,Family,Fantasy"
"tt0075812","movie","Casa de citas","Casa de citas",0,1978,"\N",98,"Comedy"
"tt0075813","movie","La casa del pelícano","La casa del pelícano",0,1978,"\N",95,"Drama,Thriller"
