"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0033996","movie","Panhandle","Panhandle",0,1948,"\N",85,"Action,Drama,Romance"
"tt0036143","movie","Marinai senza stelle","Marinai senza stelle",0,1948,"\N",83,"Drama,War"
"tt0036839","movie","Frech und verliebt","Frech und verliebt",0,1948,"\N",92,"Comedy,Romance"
"tt0036958","movie","Intimitäten","Intimitäten",0,1948,"\N",73,"Comedy"
"tt0037689","movie","Fahrt ins Glück","Fahrt ins Glück",0,1948,"\N",88,"Comedy,Romance"
"tt0037850","movie","Palace Scandal","Das kleine Hofkonzert",0,1948,"\N",70,"Comedy"
"tt0038315","movie","Aventuras del capitán Guido","Aventuras del capitán Guido",0,1948,"\N",87,"Adventure"
"tt0038862","movie","La próxima vez que vivamos","La próxima vez que vivamos",0,1948,"\N",91,"Comedy"
"tt0038914","movie","Unknown Men of San Marino","Lo sconosciuto di San Marino",0,1948,"\N",85,"Drama"
"tt0038935","movie","Shep Comes Home","Shep Comes Home",0,1948,"\N",60,"Action,Adventure,Crime"
"tt0038970","movie","Sotto il sole di Roma","Sotto il sole di Roma",0,1948,"\N",95,"Comedy,Drama"
"tt0039135","movie","The Eagle with Two Heads","L'aigle à deux têtes",0,1948,"\N",93,"Drama"
"tt0039136","movie","L'urlo","L'urlo",0,1948,"\N",84,"Drama"
"tt0039141","movie","Alhucemas","Alhucemas",0,1948,"\N",95,"Drama,History,War"
"tt0039143","movie","Alma baturra","Alma baturra",0,1948,"\N",69,"Drama"
"tt0039147","movie","Always Another Dawn","Always Another Dawn",0,1948,"\N",108,"Drama,War"
"tt0039148","movie","Amanhã Como Hoje","Amanhã Como Hoje",0,1948,"\N",73,"Drama"
"tt0039149","movie","Amanti senza amore","Amanti senza amore",0,1948,"\N",73,"Drama"
"tt0039150","movie","Monelle","Les amoureux sont seuls au monde",0,1948,"\N",105,"Drama,Music,Romance"
"tt0039163","movie","Scarred","Assunta Spina",0,1948,"\N",91,"Drama,Romance"
"tt0039166","movie","Les aventures des Pieds-Nickelés","Les aventures des Pieds-Nickelés",0,1948,"\N",95,"Comedy"
"tt0039179","movie","The Pretty Miller Girl","La belle meunière",0,1948,"\N",99,"Comedy,Musical"
"tt0039188","movie","Bill and Coo","Bill and Coo",0,1948,"\N",61,"Family,Fantasy,Musical"
"tt0039195","movie","Blanche Fury","Blanche Fury",0,1948,"\N",90,"Crime,Drama,Mystery"
"tt0039206","movie","Bond Street","Bond Street",0,1948,"\N",109,"Drama"
"tt0039213","movie","Borrowed Trouble","Borrowed Trouble",0,1948,"\N",58,"Western"
"tt0039214","movie","Botón de ancla","Botón de ancla",0,1948,"\N",100,"Comedy,Drama"
"tt0039220","movie","Brighton Rock","Brighton Rock",0,1948,"\N",92,"Crime,Drama"
"tt0039246","movie","Cartas marcadas","Cartas marcadas",0,1948,"\N",92,"Comedy,Romance"
"tt0039247","movie","La casa de las sonrisas","La casa de las sonrisas",0,1948,"\N",95,"Comedy"
"tt0039255","movie","The Mysterious Rider","Il cavaliere misterioso",0,1948,"\N",90,"Action,Adventure,Drama"
"tt0039273","movie","The Private Life of an Actor","Le comédien",0,1948,"\N",95,"Comedy,Drama"
"tt0039275","movie","Conflicto inesperado","Conflicto inesperado",0,1948,"\N",93,"Comedy"
"tt0039285","movie","Cruise for the Unknown One","Croisière pour l'inconnu",0,1948,"\N",90,"Comedy"
"tt0039291","movie","Heart and Soul","Cuore",0,1948,"\N",91,"Drama"
"tt0039296","movie","La dame d'onze heures","La dame d'onze heures",0,1948,"\N",97,"Mystery,Thriller"
"tt0039304","movie","Daybreak","Daybreak",0,1948,"\N",81,"Drama"
"tt0039310","movie","The Last Vacation","Les dernières vacances",0,1948,"\N",95,"Drama,Romance"
"tt0039333","movie","Dos mujeres en la niebla","Dos mujeres en la niebla",0,1948,"\N",99,"Drama"
"tt0039344","movie","Dédée d'Anvers","Dédée d'Anvers",0,1948,"\N",86,"Drama"
"tt0039348","movie","L'ebreo errante","L'ebreo errante",0,1948,"\N",100,"Drama,Fantasy"
"tt0039353","movie","Embrujo","Embrujo",0,1948,"\N",80,"Drama,Musical"
"tt0039373","movie","Cab Number 13","Il fiacre N. 13",0,1948,"\N",90,"Drama"
"tt0039382","movie","Film Without a Name","Film ohne Titel",0,1948,"\N",99,"Comedy,Romance"
"tt0039417","movie","Germany Year Zero","Germania anno zero",0,1948,"\N",78,"Drama,War"
"tt0039424","movie","Lost Youth","Gioventù perduta",0,1948,"\N",80,"Drama"
"tt0039458","movie","Hermoso ideal","Hermoso ideal",0,1948,"\N",81,"Adventure,Drama,Romance"
"tt0039489","movie","Perilous Waters","Perilous Waters",0,1948,"\N",66,"Drama"
"tt0039520","movie","Juan Charrasqueado","Juan Charrasqueado",0,1948,"\N",98,"Drama,Western"
"tt0039539","movie","Krakatit","Krakatit",0,1948,"\N",110,"Mystery,Sci-Fi,Thriller"
"tt0039550","movie","Larceny","Larceny",0,1948,"\N",89,"Crime,Drama,Film-Noir"
"tt0039561","movie","Legge di sangue","Legge di sangue",0,1948,"\N",91,"Drama"
"tt0039576","movie","Lohengrin","Lohengrin",0,1948,"\N",102,"Music"
"tt0039592","movie","Mademoiselle Has Fun","Mademoiselle s'amuse",0,1948,"\N",95,"Comedy"
"tt0039605","movie","Manù il contrabbandiere","Manù il contrabbandiere",0,1948,"\N",91,"Crime,Drama"
