"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0022064","movie","Lebbra bianca","Lebbra bianca",0,1951,"\N",100,"Drama"
"tt0025557","movie","El negro que tenía el alma blanca","El negro que tenía el alma blanca",0,1951,"\N",87,"Drama,Musical"
"tt0037483","movie","Augen der Liebe","Augen der Liebe",0,1951,"\N",99,"Drama"
"tt0041357","movie","Fiamme sulla laguna","Fiamme sulla laguna",0,1951,"\N",82,"Drama"
"tt0041427","movie","The Great Force","Velikaya sila",0,1951,"\N",106,"Drama"
"tt0041814","movie","La rivale dell'imperatrice","La rivale dell'imperatrice",0,1951,"\N",95,"Drama"
"tt0041921","movie","A Tale of Five Women","A Tale of Five Cities",0,1951,"\N",86,"Drama,Mystery,Romance"
"tt0041979","movie","Double Cross","Il tradimento",0,1951,"\N",85,"Crime,Drama"
"tt0042196","movie","L'amore di Norma","L'amore di Norma",0,1951,"\N",89,"Drama,Musical"
"tt0042215","movie","¡Ay amor... cómo me has puesto!","¡Ay amor... cómo me has puesto!",0,1951,"\N",85,"Comedy,Drama,Romance"
"tt0042221","movie","Under the Skies of the Asturias","Bajo el cielo de Asturias",0,1951,"\N",79,"Drama"
"tt0042222","movie","Balarrasa","Balarrasa",0,1951,"\N",90,"Drama"
"tt0042227","movie","Barbe-Bleue","Barbe-Bleue",0,1951,"\N",99,"Comedy"
"tt0042238","movie","Bellezze in bicicletta","Bellezze in bicicletta",0,1951,"\N",91,"Comedy"
"tt0042241","movie","Bernard and the Lion","Bertrand coeur de lion",0,1951,"\N",99,"Comedy"
"tt0042246","movie","Bibi Fricotin","Bibi Fricotin",0,1951,"\N",89,"Comedy"
"tt0042254","movie","Il bivio","Il bivio",0,1951,"\N",100,"Crime,Drama"
"tt0042257","movie","Blackmailed","Blackmailed",0,1951,"\N",85,"Crime,Drama,Thriller"
"tt0042288","movie","Buckaroo Sheriff of Texas","Buckaroo Sheriff of Texas",0,1951,"\N",60,"Western"
"tt0042297","movie","Il caimano del Piave","Il caimano del Piave",0,1951,"\N",100,"Drama,War"
"tt0042305","movie","Canzone di primavera","Canzone di primavera",0,1951,"\N",100,"Drama"
"tt0042307","movie","The Black Captain","Il capitano nero",0,1951,"\N",92,"Adventure,Drama,History"
"tt0042308","movie","Captain Poison","El capitán Veneno",0,1951,"\N",85,"Comedy"
"tt0042309","movie","Capitán de rurales","Capitán de rurales",0,1951,"\N",90,"Drama,War"
"tt0042316","movie","Dear Caroline","Caroline chérie",0,1951,"\N",140,"Comedy"
"tt0042329","movie","Chinnamul","Chinnamul",0,1951,"\N",117,"Drama"
"tt0042340","movie","The Company She Keeps","The Company She Keeps",0,1951,"\N",82,"Drama"
"tt0042341","movie","The Count of Saint Elmo","Il conte di Sant'Elmo",0,1951,"\N",92,"Drama"
"tt0042346","movie","Black Crown","La corona negra",0,1951,"\N",106,"Drama,Mystery"
"tt0042347","movie","Correo del rey","Correo del rey",0,1951,"\N",100,"Adventure,History"
"tt0042351","movie","Crime and Punishment","Crimen y castigo",0,1951,"\N",104,"Crime,Drama"
"tt0042353","movie","El Cristo de mi Cabecera","El Cristo de mi Cabecera",0,1951,"\N",80,"Drama,War"
"tt0042354","movie","The Forbidden Christ","Il Cristo proibito",0,1951,"\N",99,"Drama,Mystery,War"
"tt0042386","movie","La virgen gitana","La virgen gitana",0,1951,"\N",92,"Comedy,Drama,Musical"
"tt0042388","movie","Deseada","Deseada",0,1951,"\N",85,"Drama,Romance"
"tt0042407","movie","Miners of the Don","Donetskie shakhtyory",0,1951,"\N",108,"Drama"
"tt0042411","movie","Double Crossbones","Double Crossbones",0,1951,"\N",76,"Adventure,Comedy,History"
"tt0042413","movie","Doña Perfecta","Doña Perfecta",0,1951,"\N",97,"Drama,Romance,War"
"tt0042419","movie","Due mogli sono troppe","Due mogli sono troppe",0,1951,"\N",79,"Comedy"
"tt0042429","movie","Edward and Caroline","Édouard et Caroline",0,1951,"\N",88,"Comedy"
"tt0042434","movie","In the Palm of Your Hand","En la palma de tu mano",0,1951,"\N",90,"Crime,Drama,Thriller"
"tt0042446","movie","The Counterfeiters","I falsari",0,1951,"\N",90,"Crime,Drama"
"tt0042454","movie","Felszabadult föld","Felszabadult föld",0,1951,"\N",110,"Drama"
"tt0042462","movie","El final de una leyenda","El final de una leyenda",0,1951,"\N",88,"Adventure"
"tt0042465","movie","Flesh and Blood","Flesh and Blood",0,1951,"\N",102,"Drama"
"tt0042470","movie","Sweet Madness","Folie douce",0,1951,"\N",90,"Comedy,Musical"
"tt0042478","movie","The Franchise Affair","The Franchise Affair",0,1951,"\N",88,"Crime,Drama,Mystery"
"tt0042479","movie","Eine Frau mit Herz","Eine Frau mit Herz",0,1951,"\N",88,"Comedy"
"tt0042486","movie","Frühling auf dem Eis","Frühling auf dem Eis",0,1951,"\N",95,"Comedy,Music,Romance"
"tt0042499","movie","El gavilán pollero","El gavilán pollero",0,1951,"\N",107,"Adventure,Comedy,Drama"
"tt0042503","movie","Gesetz ohne Gnade","Gesetz ohne Gnade",0,1951,"\N",88,"Drama"
"tt0042525","movie","Grenzstation 58","Grenzstation 58",0,1951,"\N",92,"Crime"
"tt0042526","movie","Grounds for Marriage","Grounds for Marriage",0,1951,"\N",90,"Comedy,Musical"
"tt0042539","movie","Halls of Montezuma","Halls of Montezuma",0,1951,"\N",113,"Action,Adventure,Drama"
"tt0042590","movie","Lucky Nick Cain","I'll Get You for This",0,1951,"\N",83,"Crime,Drama"
"tt0042601","movie","Io sono il capataz","Io sono il capataz",0,1951,"\N",110,"Western"
"tt0042605","movie","Los islas Marias","Las Islas Marías",0,1951,"\N",84,"Drama"
"tt0042619","movie","Diary of a Country Priest","Journal d'un curé de campagne",0,1951,"\N",115,"Drama"
"tt0042621","movie","Juliette, or Key of Dreams","Juliette ou La clef des songes",0,1951,"\N",106,"Drama"
"tt0042626","movie","Pirates","Kaizoku-sen",0,1951,"\N",114,"Adventure"
"tt0042649","movie","Dr. Knock","Knock",0,1951,"\N",98,"Comedy"
"tt0042660","movie","Különös házasság","Különös házasság",0,1951,"\N",112,"Drama"
"tt0042667","movie","Law of the Badlands","Law of the Badlands",0,1951,"\N",59,"Western"
"tt0042672","movie","The Lioness of Castille","La leona de Castilla",0,1951,"\N",106,"Drama,History"
"tt0042717","movie","María Antonia 'La Caramba'","María Antonia 'La Caramba'",0,1951,"\N",90,"Biography,Drama,Musical"
"tt0042737","movie","Miracles Only Happen Once","Les miracles n'ont lieu qu'une fois",0,1951,"\N",98,"Drama,Romance,War"
"tt0042756","movie","Muchachas de Uniforme","Muchachas de Uniforme",0,1951,"\N",83,"Drama"
"tt0042758","movie","La muerte enamorada","La muerte enamorada",0,1951,"\N",87,"Comedy,Fantasy,Mystery"
"tt0042760","movie","Las mujeres de mi general","Las mujeres de mi general",0,1951,"\N",112,"Drama,War"
"tt0042781","movie","Native Son","Native Son",0,1951,"\N",104,"Drama"
"tt0042785","movie","The New China","Osvobozhdyonnyy Kitay",0,1951,"\N",105,"Documentary"
"tt0042803","movie","Olivia","Olivia",0,1951,"\N",95,"Comedy,Drama"
"tt0042815","movie","Oriental Evil","Oriental Evil",0,1951,"\N",64,"Drama"
"tt0042839","movie","Peppino e Violetta","Peppino e Violetta",0,1951,"\N",82,"Family,Fantasy"
"tt0042842","movie","Behind Closed Shutters","Persiane chiuse",0,1951,"\N",90,"Drama"
"tt0042850","movie","Peace Will Win","Pokój zdobedzie swiat",0,1951,"\N",90,"Documentary"
"tt0042851","movie","Pool of London","Pool of London",0,1951,"\N",85,"Crime,Drama"
"tt0042870","movie","The Quiet Woman","The Quiet Woman",0,1951,"\N",71,"Crime,Drama"
"tt0042878","movie","Rausch einer Nacht","Rausch einer Nacht",0,1951,"\N",100,"Drama,Romance"
"tt0042881","movie","The Redhead and the Cowboy","The Redhead and the Cowboy",0,1951,"\N",82,"Western"
