"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0004450","movie","Die Pagode","Die Pagode",0,1917,"\N",82,"Action,Crime,Drama"
"tt0006419","movie","El beso de la muerte","El beso de la muerte",0,1917,"\N",72,"Drama"
"tt0006734","movie","The Golden Idiot","The Golden Idiot",0,1917,"\N",65,"Comedy,Drama"
"tt0007610","movie","'49-'17","'49-'17",0,1917,"\N",61,"Drama,Western"
"tt0007617","movie","Aladdin and the Wonderful Lamp","Aladdin and the Wonderful Lamp",0,1917,"\N",80,"Fantasy"
"tt0007620","movie","Alexander den Store","Alexander den Store",0,1917,"\N",73,"Comedy"
"tt0007627","movie","Alma de sacrificio","Alma de sacrificio",0,1917,"\N",70,"Drama,Romance"
"tt0007628","movie","Alma, Where Do You Live?","Alma, Where Do You Live?",0,1917,"\N",60,"Comedy"
"tt0007636","movie","American Methods","American Methods",0,1917,"\N",60,"Drama"
"tt0007646","movie","El apóstol","El apóstol",0,1917,"\N",70,"Animation,Comedy,Drama"
"tt0007671","movie","Baby Mine","Baby Mine",0,1917,"\N",60,"Comedy"
"tt0007677","movie","The Bar Sinister","The Bar Sinister",0,1917,"\N",80,"Drama"
"tt0007684","movie","The Barrier","The Barrier",0,1917,"\N",100,"Adventure"
"tt0007695","movie","Beloved Jim","Beloved Jim",0,1917,"\N",60,"Drama"
"tt0007698","movie","Betsy Ross","Betsy Ross",0,1917,"\N",60,"Biography,Drama,Romance"
"tt0007702","movie","Das Bildnis des Dorian Gray","Das Bildnis des Dorian Gray",0,1917,"\N",80,"Fantasy,Thriller"
"tt0007705","movie","The Bitter Truth","The Bitter Truth",0,1917,"\N",60,"Crime,Drama"
"tt0007751","movie","Broadway Jones","Broadway Jones",0,1917,"\N",60,"Comedy"
"tt0007754","movie","Brottmålsdomaren","Brottmålsdomaren",0,1917,"\N",68,"Drama"
"tt0007767","movie","The Call of Her People","The Call of Her People",0,1917,"\N",70,"Drama"
"tt0007769","movie","Camille","Camille",0,1917,"\N",60,"Drama,Romance"
"tt0007795","movie","The Cinderella Man","The Cinderella Man",0,1917,"\N",60,"Comedy"
"tt0007801","movie","Cleopatra","Cleopatra",0,1917,"\N",125,"Biography,Drama,History"
"tt0007811","movie","The Cold Deck","The Cold Deck",0,1917,"\N",70,"Western"
"tt0007816","movie","Come Through","Come Through",0,1917,"\N",70,"Crime,Drama"
"tt0007820","movie","The Conqueror","The Conqueror",0,1917,"\N",80,"Biography,Western"
"tt0007845","movie","The Deemster","The Deemster",0,1917,"\N",90,"Drama"
"tt0007857","movie","The Devil-Stone","The Devil-Stone",0,1917,"\N",60,"Drama,Mystery"
"tt0007873","movie","Down to Earth","Down to Earth",0,1917,"\N",71,"Comedy,Romance"
"tt0007888","movie","En defensa propia","En defensa propia",0,1917,"\N",100,"Drama"
"tt0007892","movie","Enlighten Thy Daughter","Enlighten Thy Daughter",0,1917,"\N",70,"Crime,Drama"
"tt0007902","movie","Even As You and I","Even As You and I",0,1917,"\N",70,"Drama"
"tt0007909","movie","The Eyes of the World","The Eyes of the World",0,1917,"\N",100,"Drama"
"tt0007927","movie","The Fall of the Romanoffs","The Fall of the Romanoffs",0,1917,"\N",80,"Biography,Drama,History"
"tt0007931","movie","The Man from Painted Post","The Man from Painted Post",0,1917,"\N",58,"Action,Comedy,Romance"
"tt0007938","movie","The Fibbers","The Fibbers",0,1917,"\N",65,"Comedy"
"tt0007946","movie","Filling His Own Shoes","Filling His Own Shoes",0,1917,"\N",65,"Comedy"
"tt0007972","movie","De forældreløse","De forældreløse",0,1917,"\N",85,"Drama"
"tt0007979","movie","The Fringe of Society","The Fringe of Society",0,1917,"\N",70,"Drama"
"tt0007983","movie","Furcht","Furcht",0,1917,"\N",72,"Horror"
"tt0007986","movie","The Suburban Vicar","Förstadsprästen",0,1917,"\N",70,"Drama"
"tt0007992","movie","Het geheim van Delft","Het geheim van Delft",0,1917,"\N",70,"Drama"
"tt0008000","movie","Gift o' Gab","Gift o' Gab",0,1917,"\N",65,"Comedy"
"tt0008011","movie","A Girl's Folly","A Girl's Folly",0,1917,"\N",65,"Comedy"
"tt0008018","movie","God's Man","God's Man",0,1917,"\N",90,"Drama"
"tt0008041","movie","The Hand That Rocks the Cradle","The Hand That Rocks the Cradle",0,1917,"\N",60,"Drama"
"tt0008050","movie","Hate","Hate",0,1917,"\N",70,"Drama"
"tt0008061","movie","The Heart of a Lion","The Heart of a Lion",0,1917,"\N",70,"Drama"
"tt0008099","movie","Hilde Warren und der Tod","Hilde Warren und der Tod",0,1917,"\N",80,"Horror"
"tt0008114","movie","Die Hochzeit im Excentricclub","Die Hochzeit im Excentricclub",0,1917,"\N",70,"Action,Crime,Drama"
"tt0008117","movie","The Honor System","The Honor System",0,1917,"\N",100,"Drama"
"tt0008144","movie","Jack and the Beanstalk","Jack and the Beanstalk",0,1917,"\N",100,"Fantasy"
"tt0008153","movie","The Judgement House","The Judgement House",0,1917,"\N",60,"Drama"
"tt0008161","movie","Korol Parizha","Korol Parizha",0,1917,"\N",63,"Drama"
"tt0008188","movie","The Little American","The Little American",0,1917,"\N",80,"Drama,Romance,War"
"tt0008196","movie","A Little Princess","A Little Princess",0,1917,"\N",62,"Drama"
"tt0008241","movie","Madame Du Barry","Madame Du Barry",0,1917,"\N",105,"Drama,History"
"tt0008252","movie","Malombra","Malombra",0,1917,"\N",75,"Drama,Horror,Mystery"
"tt0008259","movie","The Man Without a Country","The Man Without a Country",0,1917,"\N",60,"Drama"
"tt0008266","movie","A Man's Man","A Man's Man",0,1917,"\N",70,"Adventure"
"tt0008273","movie","Married in Name Only","Married in Name Only",0,1917,"\N",60,"Drama"
"tt0008279","movie","The Torture of Silence","Mater dolorosa",0,1917,"\N",80,"Drama"
"tt0008284","movie","Mefisto","Mefisto",0,1917,"\N",460,"Thriller"
"tt0008287","movie","Men of the Desert","Men of the Desert",0,1917,"\N",65,"Western"
"tt0008288","movie","The Message of the Mouse","The Message of the Mouse",0,1917,"\N",60,"Drama"
"tt0008305","movie","Les Misérables","Les Misérables",0,1917,"\N",100,"Drama"
"tt0008309","movie","A Modern Musketeer","A Modern Musketeer",0,1917,"\N",68,"Adventure,Comedy,Western"
"tt0008319","movie","A Mormon Maid","A Mormon Maid",0,1917,"\N",68,"Drama,History,Western"
"tt0008321","movie","The Moth","The Moth",0,1917,"\N",72,"Drama"
"tt0008329","movie","Mothers of Men","Mothers of Men",0,1917,"\N",60,"Drama"
